index,totalseconds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_Row1,Q13_Row2,Q13_Row3,Q13_Row4,Q13_Row5,Q13_Row6,Q13_Row7,Q13_Row8,Q13_Row9,Q13_Row10,Q13_Row11,Q13_Row12,Q13_Row13,Q13_Row14,Q13_Row15,Q13_Row16,Q13_Row17,Q13_Row18,Q13_Row19,Q13_Row20,Q13_Row21,Q13_Row22,Q13_Row23,Q13_Row24,Q13_Row25,Q13_Row26,Q13_Row27,Q13_Row28,Q13_Row29,totalvalue,最后一个基本个案
120,218,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,4,2,3,3,3,4,3,3,100,0
154,132,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,3,3,3,4,4,3,4,4,3,3,3,4,3,3,4,4,4,3,3,4,3,3,2,4,3,4,5,4,100,0
192,229,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,2,4,4,3,4,3,3,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,100,0
126,262,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,2,4,4,4,4,100,0
221,158,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,101,0
247,341,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,3,4,5,4,4,4,5,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,101,0
148,93,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,3,4,4,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,4,3,101,0
159,206,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,101,0
80,217,2,-3,-3,-3,-3,-3,1,2,2,4,1,1,3,4,4,3,2,4,4,4,3,4,5,3,3,4,2,2,4,3,4,4,4,3,4,2,2,3,4,4,4,101,0
230,224,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,101,0
161,239,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,4,101,0
90,278,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,3,4,4,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,2,4,3,3,4,4,101,0
255,192,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,2,2,4,4,4,5,101,0
109,182,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,2,4,4,3,4,3,4,4,3,102,0
104,163,2,-3,-3,-3,-3,-3,1,3,2,4,1,1,4,4,4,4,4,4,4,4,3,3,3,4,3,4,2,3,4,4,3,4,4,4,4,2,3,3,3,3,4,102,0
106,174,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,3,4,5,5,4,3,3,4,3,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,3,4,102,0
34,177,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,3,2,4,3,4,3,3,3,4,4,4,4,2,4,4,3,3,4,4,4,3,2,4,4,4,4,4,102,0
259,280,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,3,3,3,4,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,3,3,4,4,4,102,0
301,59,1,2,2,1,2,2,-3,-3,-3,-3,-3,-3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,4,102,0
77,233,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,4,3,4,3,4,4,3,4,3,3,4,4,3,3,4,3,3,4,4,4,3,3,3,3,4,3,4,5,102,0
110,125,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,2,2,4,3,3,2,2,103,0
39,140,2,-3,-3,-3,-3,-3,2,3,1,2,1,1,5,5,5,4,2,3,3,3,4,3,3,3,3,4,3,3,4,4,3,4,4,4,2,2,2,3,3,3,3,103,0
245,303,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,3,4,3,3,2,3,4,4,4,3,103,0
244,317,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,4,4,3,5,3,4,4,3,4,4,2,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,103,0
188,182,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,3,3,2,4,3,4,3,4,2,4,3,4,4,4,4,2,4,3,3,4,4,2,2,2,4,4,4,4,103,0
234,265,2,-3,-3,-3,-3,-3,1,1,1,2,2,1,4,4,4,4,3,4,3,4,4,4,3,3,4,4,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,103,0
187,178,2,-3,-3,-3,-3,-3,1,2,1,5,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,3,3,3,3,4,3,2,4,2,4,4,4,2,104,0
3,109,2,-3,-3,-3,-3,-3,2,3,2,5,1,1,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,4,3,104,0
218,209,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,104,0
103,151,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,2,2,4,4,3,3,4,104,0
31,164,2,-3,-3,-3,-3,-3,2,1,2,2,2,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,2,4,3,3,4,4,3,3,4,4,4,4,4,104,0
217,172,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,104,0
65,175,2,-3,-3,-3,-3,-3,1,4,1,2,1,1,2,3,3,3,4,4,4,3,2,3,4,3,4,3,4,4,4,4,4,4,4,4,3,1,3,4,4,4,4,104,0
59,189,2,-3,-3,-3,-3,-3,2,1,1,5,1,1,4,4,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,4,4,4,104,0
231,241,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,3,3,4,4,4,4,3,3,3,3,4,3,2,3,4,4,3,4,4,4,3,1,3,4,4,4,4,104,0
164,297,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,4,3,4,3,4,4,3,4,3,5,3,4,3,4,3,4,4,2,4,3,4,5,3,4,5,4,5,5,4,104,0
262,303,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,3,4,4,4,4,3,4,2,2,3,4,4,4,2,4,5,5,2,3,4,4,2,1,3,3,4,3,4,104,0
219,231,2,-3,-3,-3,-3,-3,1,5,1,3,1,1,4,5,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,105,0
66,222,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,3,3,3,4,4,3,3,3,3,5,4,4,4,3,4,4,4,3,4,3,4,2,1,3,4,4,3,4,105,0
122,224,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,3,2,4,4,4,3,4,105,0
130,279,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,105,0
292,62,1,2,2,1,1,2,-3,-3,-3,-3,-3,-3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,105,0
248,352,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,3,3,3,2,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,3,5,2,1,4,5,4,5,3,106,0
233,265,2,-3,-3,-3,-3,-3,2,3,1,1,1,1,4,3,3,3,4,3,3,3,4,4,3,4,4,4,3,3,4,4,3,4,4,4,1,1,3,4,4,3,4,106,0
246,336,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,3,4,4,4,4,4,3,3,4,4,4,4,2,3,3,4,4,3,4,4,2,2,4,4,4,4,4,106,0
22,94,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,106,0
60,95,2,-3,-3,-3,-3,-3,2,1,1,4,1,1,4,4,4,3,4,3,3,3,3,3,4,3,5,4,3,4,4,4,4,4,4,4,3,2,3,4,3,4,4,106,0
149,108,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,107,0
125,255,2,-3,-3,-3,-3,-3,1,3,2,1,1,1,4,3,4,3,4,4,4,5,3,3,4,4,4,3,3,5,5,4,4,5,4,3,3,3,4,3,4,4,3,107,0
127,265,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,4,4,4,4,3,107,0
14,123,2,-3,-3,-3,-3,-3,2,3,1,2,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,5,3,3,5,4,107,0
108,162,2,-3,-3,-3,-3,-3,1,2,2,5,1,1,3,4,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,4,4,2,2,4,4,4,5,4,107,0
124,208,2,-3,-3,-3,-3,-3,2,4,1,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,2,2,4,3,3,4,4,108,0
69,196,2,-3,-3,-3,-3,-3,1,3,2,4,1,1,4,4,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,2,2,1,2,4,3,5,5,108,0
58,155,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,2,4,3,2,3,4,2,5,5,4,5,2,4,4,5,3,5,5,3,2,2,3,5,4,4,3,109,0
67,224,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,5,3,4,4,3,3,3,4,4,5,4,5,3,4,4,4,3,4,4,3,3,1,4,3,4,5,3,109,0
266,125,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,109,0
225,146,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,109,0
32,175,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,4,4,4,3,4,4,4,2,2,3,4,4,4,4,109,0
300,205,1,1,2,1,1,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,4,4,2,2,3,3,4,4,4,109,0
74,236,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,2,2,3,4,4,4,4,109,0
61,202,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,3,3,4,4,4,4,3,4,5,3,4,4,4,5,2,2,4,4,2,4,4,4,3,1,4,4,5,5,5,109,0
205,100,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,110,0
63,183,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,4,3,3,5,4,4,3,3,2,4,4,5,3,4,4,5,4,5,4,3,2,1,3,4,3,3,4,110,0
112,184,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,3,4,4,4,4,4,4,5,4,3,3,4,3,3,4,4,4,4,4,4,4,3,1,4,4,4,5,4,110,0
115,185,2,-3,-3,-3,-3,-3,2,5,1,5,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,110,0
78,225,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,110,0
123,228,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,110,0
101,137,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,3,4,4,5,4,4,4,3,3,4,3,4,5,3,4,4,5,3,4,4,4,3,4,3,4,4,5,5,110,0
179,107,2,-3,-3,-3,-3,-3,1,3,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,111,0
281,142,1,1,3,1,2,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,5,2,2,4,4,4,4,4,111,0
152,149,2,-3,-3,-3,-3,-3,1,4,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,111,0
137,296,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,3,3,4,4,4,4,4,4,3,3,5,5,4,4,4,4,3,4,4,5,3,2,3,3,5,4,4,111,0
102,133,2,-3,-3,-3,-3,-3,1,3,1,1,2,1,4,3,4,3,5,3,4,4,3,3,4,2,4,4,2,4,4,4,3,5,4,5,2,2,4,5,5,5,5,111,0
71,223,2,-3,-3,-3,-3,-3,1,1,2,5,1,1,4,4,4,2,5,5,5,2,2,5,3,4,4,3,4,5,5,3,2,4,4,3,2,1,2,3,4,4,5,111,0
85,256,2,-3,-3,-3,-3,-3,1,3,2,1,1,1,4,4,3,3,4,4,3,3,3,4,2,4,4,4,3,2,4,4,3,5,5,5,3,2,2,5,5,5,5,111,0
136,311,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,3,3,1,3,5,3,3,3,3,4,5,5,5,2,4,2,4,4,5,4,5,1,1,1,5,2,5,5,111,0
129,220,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,3,4,4,2,4,4,3,4,4,3,5,4,4,5,4,4,5,4,5,5,4,5,3,3,4,4,3,5,3,112,0
135,319,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,112,0
176,79,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,112,0
239,307,2,-3,-3,-3,-3,-3,2,3,1,2,1,1,5,5,5,5,4,3,3,3,3,4,4,4,4,4,3,3,4,4,3,5,5,5,4,5,5,5,5,5,5,112,0
283,92,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,4,4,4,4,4,113,0
1,106,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,2,3,4,4,5,5,113,0
237,295,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,5,4,3,4,3,3,4,5,4,5,3,4,3,4,4,4,5,5,3,3,4,4,5,5,5,114,0
257,238,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,3,4,4,4,4,115,0
91,255,2,-3,-3,-3,-3,-3,1,1,4,2,2,1,4,4,3,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,3,1,3,4,5,4,4,115,0
264,373,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4,4,115,0
256,98,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,115,0
132,271,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,4,4,5,4,4,3,4,4,3,4,2,4,5,2,5,4,5,4,5,4,4,2,2,3,4,4,5,5,115,0
250,347,2,-3,-3,-3,-3,-3,1,1,1,4,1,1,4,4,4,2,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,2,2,4,4,4,5,5,115,0
121,227,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,5,2,5,4,4,4,4,4,4,2,2,2,4,4,4,5,116,0
93,299,2,-3,-3,-3,-3,-3,2,2,1,2,1,1,4,4,2,5,4,5,3,3,4,2,3,3,4,5,3,5,4,5,4,5,5,5,3,1,3,3,5,5,5,116,0
270,179,1,2,2,1,2,2,-3,-3,-3,-3,-3,-3,3,5,4,3,5,5,5,5,4,4,4,3,5,4,3,4,4,4,4,4,4,4,2,2,5,3,5,5,5,117,0
261,306,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,5,4,4,5,5,4,4,4,3,4,5,5,4,3,4,4,4,5,5,5,4,5,4,4,4,4,5,5,4,119,0
156,166,2,-3,-3,-3,-3,-3,1,3,1,4,1,2,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,4,5,4,4,5,4,5,4,120,0
50,105,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,121,0
52,152,2,-3,-3,-3,-3,-3,1,1,1,2,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,122,0
70,224,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,5,4,4,4,5,5,4,4,4,2,4,4,4,4,2,5,5,4,4,4,5,5,3,2,2,5,5,5,5,122,0
265,158,2,-3,-3,-3,-3,-3,1,2,1,5,1,1,4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,2,2,3,5,5,5,5,123,0
226,203,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,1,1,1,4,4,4,5,123,0
113,188,2,-3,-3,-3,-3,-3,1,4,4,5,1,1,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,1,1,1,4,4,4,4,124,0
79,238,2,-3,-3,-3,-3,-3,1,3,2,3,1,1,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,2,4,5,4,4,5,125,0
105,149,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,4,4,4,5,5,5,4,5,4,4,4,5,4,5,4,5,5,5,5,5,2,2,2,4,4,4,4,127,0
53,164,2,-3,-3,-3,-3,-3,2,1,4,5,1,1,5,5,4,4,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5,1,1,4,4,3,3,4,127,0
227,208,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,5,4,4,4,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,3,3,4,4,4,5,5,130,0
305,164,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,131,0
252,179,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,4,132,0
99,122,2,-3,-3,-3,-3,-3,2,3,2,5,1,1,5,4,5,5,5,4,5,5,4,5,4,5,5,5,3,5,5,5,4,5,5,4,2,1,2,4,4,5,5,133,0
277,185,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,2,2,4,4,5,5,5,136,0
274,111,1,2,2,1,1,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,3,3,5,5,5,5,137,0
116,178,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,5,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,4,5,5,5,5,1,1,2,5,5,5,5,137,0
134,318,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,5,5,5,5,5,5,5,5,5,2,5,5,5,4,2,5,5,5,5,5,5,5,1,1,1,5,5,5,5,138,0
29,147,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,5,5,144,0
142,83,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
184,86,2,-3,-3,-3,-3,-3,1,3,1,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
204,89,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
75,226,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,1,3,3,3,3,3,1,1,3,3,4,3,2,1,3,58,0
290,152,1,1,1,1,2,2,-3,-3,-3,-3,-3,-3,1,3,2,2,2,2,2,2,1,1,2,1,1,4,3,2,2,2,2,2,2,2,2,4,4,2,2,4,2,61,0
40,192,2,-3,-3,-3,-3,-3,2,3,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,64,0
117,194,2,-3,-3,-3,-3,-3,1,3,1,5,2,1,2,1,2,1,2,4,2,2,4,3,4,3,4,4,2,2,1,2,2,2,1,2,4,5,5,3,1,1,3,64,0
20,128,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,4,2,3,3,4,64,0
